Date,Open,High,Low,Close,Volume
29-Jan-16,485.20,492.30,482.75,492.30,35475204
28-Jan-16,480.15,488.55,475.50,477.65,30752779
27-Jan-16,473.95,480.10,468.50,480.10,25859934
26-Jan-16,465.30,477.80,462.50,474.50,27686722
25-Jan-16,482.15,483.20,470.84,473.45,28939054
22-Jan-16,478.55,484.35,475.80,482.70,22325413
21-Jan-16,467.45,473.70,463.20,471.20,38824427
20-Jan-16,479.05,479.86,461.80,465.80,38859270
19-Jan-16,487.05,492.85,483.95,488.65,24356333
18-Jan-16,486.00,488.30,477.05,479.70,35112056
15-Jan-16,499.75,502.40,481.55,485.70,49858331
14-Jan-16,502.10,506.30,493.80,502.00,28441839
13-Jan-16,509.60,513.00,502.30,504.80,19017312
12-Jan-16,500.60,508.90,498.05,505.10,26399085
11-Jan-16,499.15,505.90,497.80,497.80,19854901
8-Jan-16,504.80,510.50,499.10,499.10,26120990
7-Jan-16,503.10,508.76,497.15,502.00,37633959
6-Jan-16,519.20,521.23,502.97,508.30,32108901
5-Jan-16,523.20,525.78,517.00,522.60,16820407
4-Jan-16,528.00,530.00,516.70,520.40,22025361
31-Dec-15,542.30,542.30,534.10,536.20,4325063
30-Dec-15,542.00,542.20,534.60,537.80,10166932
29-Dec-15,543.20,544.60,538.90,544.60,11623301
24-Dec-15,539.60,541.90,539.20,541.30,3163534
23-Dec-15,533.90,541.70,533.50,540.90,12543615
22-Dec-15,531.90,532.90,525.50,529.60,9240053
21-Dec-15,527.70,536.40,526.99,527.10,12518695
18-Dec-15,530.40,536.10,527.40,529.20,34329305
16-Dec-15,515.10,527.20,512.85,520.80,26646195
15-Dec-15,500.00,512.80,500.00,511.60,25742387
14-Dec-15,501.60,507.60,492.30,494.15,25674482
11-Dec-15,509.70,511.80,498.00,498.00,27476817
10-Dec-15,512.00,515.60,508.80,510.80,20325811
9-Dec-15,516.30,520.20,509.91,512.10,18714923
8-Dec-15,519.60,521.73,510.19,511.60,22215537
7-Dec-15,527.30,527.40,520.20,521.60,13410571
4-Dec-15,526.00,527.30,518.80,523.30,20991680
3-Dec-15,540.50,543.40,527.20,527.20,23817007
2-Dec-15,540.90,542.40,538.90,540.50,12568251
1-Dec-15,535.40,541.00,533.10,539.00,20680507
30-Nov-15,531.90,533.60,528.10,529.50,22027245
27-Nov-15,532.70,537.60,531.10,534.90,15181806
26-Nov-15,534.00,541.13,531.30,540.00,11855238
25-Nov-15,531.60,535.60,530.10,533.90,15734044
24-Nov-15,532.40,533.20,517.68,530.10,19453269
23-Nov-15,531.70,538.50,528.70,534.90,20562140
20-Nov-15,530.00,532.30,523.50,531.10,25430935
19-Nov-15,522.70,528.50,521.85,525.10,18193970
18-Nov-15,516.00,524.49,516.00,520.80,16599034
17-Nov-15,517.50,520.30,515.80,519.20,20794740
16-Nov-15,510.70,515.70,508.20,511.30,15168436
13-Nov-15,518.80,520.70,510.60,513.20,24298506
12-Nov-15,527.30,530.50,520.50,521.00,22940599
11-Nov-15,523.90,529.86,519.20,523.70,14815766
10-Nov-15,529.60,531.40,520.40,522.30,16756939
9-Nov-15,531.00,538.20,527.40,527.60,25005370
6-Nov-15,517.90,531.20,514.90,527.80,31583959
5-Nov-15,520.90,521.02,513.00,516.90,19311414
4-Nov-15,508.00,523.50,507.10,519.10,29595010
3-Nov-15,502.90,505.30,498.75,504.90,16292137
2-Nov-15,503.20,505.60,498.75,503.50,14148452
30-Oct-15,513.00,514.50,505.60,507.60,17895517
29-Oct-15,516.50,518.40,509.00,512.80,15146363
28-Oct-15,512.10,517.50,510.30,515.30,13405689
27-Oct-15,514.20,516.68,511.20,511.50,12597592
26-Oct-15,516.20,518.60,512.80,513.10,12789065
23-Oct-15,511.20,523.10,506.35,518.00,22181332
22-Oct-15,505.40,508.00,503.40,505.60,24043424
21-Oct-15,517.30,518.30,510.60,512.80,14600187
20-Oct-15,517.40,519.09,513.20,515.60,12581749
19-Oct-15,520.20,523.20,515.30,517.30,12998885
16-Oct-15,522.00,525.30,518.60,521.00,17347884
15-Oct-15,519.50,520.40,514.60,519.00,15539285
14-Oct-15,518.00,521.90,515.60,515.60,13440837
13-Oct-15,530.50,530.50,516.10,520.50,18710317
12-Oct-15,531.60,532.70,527.80,531.60,11721774
9-Oct-15,531.20,535.24,525.60,532.20,17357982
8-Oct-15,524.40,531.60,522.20,527.67,17810091
7-Oct-15,523.40,535.00,519.50,528.70,27900699
6-Oct-15,518.00,523.00,514.80,521.40,17263244
5-Oct-15,515.00,521.90,510.70,521.30,19728107
2-Oct-15,505.60,514.20,499.96,507.70,22387166
1-Oct-15,506.90,510.20,500.40,503.00,18316502
30-Sep-15,494.00,498.85,490.80,498.70,27423987
29-Sep-15,483.85,489.60,481.50,485.55,22619086
28-Sep-15,502.80,502.80,488.55,488.95,16017318
25-Sep-15,495.60,504.70,494.50,503.60,20397945
24-Sep-15,501.00,501.00,485.85,488.10,29342530
23-Sep-15,491.90,502.95,491.80,498.75,25413729
22-Sep-15,505.90,506.10,487.15,487.40,33964806
21-Sep-15,493.05,499.75,492.60,495.10,22578530
18-Sep-15,500.20,501.14,478.35,490.65,40617765
17-Sep-15,509.60,510.30,501.97,502.50,23239990
16-Sep-15,513.30,517.10,512.40,513.10,21076461
15-Sep-15,503.40,511.50,497.05,508.80,18959163
14-Sep-15,506.10,509.00,497.35,500.80,19611264
11-Sep-15,506.90,507.50,501.80,504.30,15062882
10-Sep-15,513.80,522.14,502.40,505.20,19478933
9-Sep-15,517.10,522.90,516.00,518.90,26027898
8-Sep-15,497.00,512.30,496.10,504.20,24801720
7-Sep-15,497.95,499.75,492.50,494.00,13602002
4-Sep-15,502.50,504.20,492.40,493.50,20975037
3-Sep-15,504.00,508.60,502.10,506.70,19576779
2-Sep-15,501.00,508.00,490.25,498.80,26636935
1-Sep-15,515.90,517.20,495.05,499.00,32560903
28-Aug-15,518.80,520.30,512.20,518.70,37054207
27-Aug-15,509.30,521.78,507.30,519.70,32904884
26-Aug-15,504.00,506.70,495.15,496.20,30595586
25-Aug-15,495.00,511.50,493.95,507.10,42579214
24-Aug-15,508.30,514.60,482.55,487.75,54954474
21-Aug-15,529.00,535.40,521.20,521.20,28188148
20-Aug-15,537.00,541.10,534.30,535.20,24105039
19-Aug-15,551.00,551.33,539.97,540.60,25864950
18-Aug-15,555.30,558.20,553.10,556.00,15608878
17-Aug-15,560.50,561.20,553.00,557.60,12491620
14-Aug-15,562.10,563.70,555.79,558.00,13559547
13-Aug-15,564.00,568.40,560.10,561.00,17213211
12-Aug-15,574.00,574.00,560.00,567.30,32021426
11-Aug-15,581.40,581.80,575.46,577.40,17925585
10-Aug-15,589.60,594.40,576.30,581.85,17360444
7-Aug-15,590.80,594.00,586.73,587.70,10593533
6-Aug-15,589.80,593.40,588.30,590.40,13046921
5-Aug-15,585.50,595.60,585.40,594.60,22712138
4-Aug-15,581.80,584.50,577.20,582.20,17113652
3-Aug-15,589.30,589.60,578.70,581.30,17815162
31-Jul-15,576.40,581.48,575.00,579.70,18783685
30-Jul-15,576.70,581.70,575.20,577.10,20217383
29-Jul-15,574.70,578.10,572.80,576.50,15495417
28-Jul-15,571.00,575.51,570.40,573.27,19375721
27-Jul-15,566.90,568.76,561.70,564.10,18654557
24-Jul-15,576.70,579.30,568.50,569.40,15977193
23-Jul-15,581.30,583.50,577.96,579.20,15936381
22-Jul-15,582.00,583.20,573.10,577.40,19497633
21-Jul-15,588.20,588.60,585.20,586.40,11629211
20-Jul-15,585.00,588.42,584.00,586.77,13665084
17-Jul-15,581.50,584.48,579.70,580.20,13696497
16-Jul-15,575.30,583.00,574.10,581.60,19593300
15-Jul-15,570.80,575.90,568.30,573.30,14592684
14-Jul-15,570.40,574.70,569.60,572.70,16348105
13-Jul-15,572.40,575.80,567.00,575.20,20990130
10-Jul-15,569.10,569.80,563.70,565.70,23028690
9-Jul-15,564.80,569.90,559.20,564.00,24848046
8-Jul-15,554.00,567.50,544.30,559.20,38909500
7-Jul-15,569.80,571.60,558.60,558.60,20661475
6-Jul-15,564.00,570.60,562.90,568.10,18996434
3-Jul-15,577.20,577.90,569.90,572.90,12342081
2-Jul-15,574.80,580.74,572.30,578.00,20073490
1-Jul-15,574.30,574.70,566.90,570.90,33108002
30-Jun-15,576.00,577.50,570.10,570.10,28968453
29-Jun-15,575.60,584.33,573.50,577.10,26880224
26-Jun-15,590.40,592.90,586.00,589.90,18780082
25-Jun-15,600.00,602.40,594.10,594.30,26689444
24-Jun-15,599.80,603.20,599.20,602.20,20390986
23-Jun-15,602.00,604.10,599.00,600.90,19137706
22-Jun-15,594.80,602.00,592.50,602.00,23100630
19-Jun-15,586.10,593.40,585.40,590.80,57874192
18-Jun-15,587.00,590.03,582.00,587.60,23424509
17-Jun-15,593.80,596.00,589.60,590.80,20022324
16-Jun-15,597.90,600.70,591.96,594.90,23107077
15-Jun-15,605.70,606.50,599.00,600.00,16649754
12-Jun-15,608.40,610.80,605.80,607.70,17072153
11-Jun-15,612.80,614.90,608.30,611.30,21023382
10-Jun-15,610.00,617.21,608.00,613.40,29208173
9-Jun-15,621.10,633.22,610.80,613.70,28830063
8-Jun-15,620.00,623.70,618.30,619.50,15879075
5-Jun-15,617.00,620.70,611.10,618.90,19810542
4-Jun-15,621.40,625.16,617.00,618.80,20536454
3-Jun-15,621.90,630.20,618.10,625.30,24648336
2-Jun-15,625.10,627.30,618.90,624.40,23323743
1-Jun-15,624.90,633.10,619.00,624.20,22150759
29-May-15,622.50,630.62,620.40,622.70,26548135
